Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Euseigne;1982;00;Saint-Martin (VS);6087;VS;2599406.403;1110197.515;fr;2008-07-01
Bramois;1967;00;Vex;6089;VS;2597469.737;1119372.978;fr;2008-07-01
Vex;1981;00;Vex;6089;VS;2596799.153;1117977.284;fr;2008-07-01
Thyon;1988;01;Vex;6089;VS;2594962.833;1113577.706;fr;2008-07-01
Les Collons;1988;02;Vex;6089;VS;2595860.960;1114593.739;fr;2008-07-01
Les Agettes;1992;00;Vex;6089;VS;2595548.198;1117572.401;fr;2008-07-01
Les Mayens-de-Sion;1992;01;Vex;6089;VS;2596180.804;1116485.766;fr;2008-07-01
Vernamiège;1961;00;Mont-Noble;6090;VS;2599985.562;1117723.818;fr;2008-07-01
Mase;1968;00;Mont-Noble;6090;VS;2604453.848;1114870.148;fr;2008-07-01
Nax;1973;00;Mont-Noble;6090;VS;2600775.333;1119176.421;fr;2008-07-01
Vercorin;3967;00;Mont-Noble;6090;VS;2606430.557;1116320.880;fr;2008-07-01
Unterems;3948;00;Agarn;6101;VS;2618160.079;1126305.573;de;2008-07-01
Agarn;3951;00;Agarn;6101;VS;2617895.238;1126867.412;de;2008-07-01
Albinen;3955;00;Albinen;6102;VS;2615733.579;1133531.281;de;2008-07-01
Ergisch;3947;00;Ergisch;6104;VS;2622095.395;1124741.376;de;2008-07-01
Inden;3953;01;Inden;6109;VS;2612323.569;1133581.540;de;2008-07-01
Niedergampel;3945;01;Leuk;6110;VS;2619866.888;1129044.792;de;2008-07-01
Agarn;3951;00;Leuk;6110;VS;2617855.939;1127537.387;de;2008-07-01
Susten;3952;00;Leuk;6110;VS;2614999.729;1126064.473;de;2008-07-01
Leuk Stadt;3953;00;Leuk;6110;VS;2615594.541;1129804.036;de;2008-07-01
Inden;3953;01;Leuk;6110;VS;2614186.275;1130904.667;de;2008-07-01
Guttet-Feschel;3956;00;Leuk;6110;VS;2617100.873;1129756.590;de;2008-07-01
Erschmatt;3957;00;Leuk;6110;VS;2619941.739;1132570.335;de;2008-07-01
Salgesch;3970;00;Leuk;6110;VS;2611366.289;1128290.608;de;2008-07-01
Leukerbad;3954;00;Leukerbad;6111;VS;2615707.139;1138752.409;de;2008-07-01
Oberems;3948;01;Oberems;6112;VS;2619198.038;1123582.931;de;2008-07-01
Salgesch;3970;00;Salgesch;6113;VS;2610697.113;1128531.938;de;2008-07-01
Leuk Stadt;3953;00;Varen;6116;VS;2614081.922;1129562.105;de;2008-07-01
Varen;3953;02;Varen;6116;VS;2611875.915;1130004.836;de;2008-07-01
Salgesch;3970;00;Varen;6116;VS;2611786.975;1128933.932;de;2008-07-01
Guttet-Feschel;3956;00;Guttet-Feschel;6117;VS;2618702.985;1134408.561;de;2008-07-01
Gampel;3945;00;Gampel-Bratsch;6118;VS;2622678.104;1131657.903;de;2008-07-01
Bratsch;3957;02;Gampel-Bratsch;6118;VS;2621049.380;1130566.510;de;2008-07-01
Steg VS;3940;00;Turtmann-Unterems;6119;VS;2623430.202;1128279.504;de;2008-07-01
Eischoll;3943;00;Turtmann-Unterems;6119;VS;2623211.824;1127220.840;de;2008-07-01
Turtmann;3946;00;Turtmann-Unterems;6119;VS;2621241.386;1127920.462;de;2008-07-01
Gruben;3946;02;Turtmann-Unterems;6119;VS;2620909.415;1114088.400;de;2008-07-01
Unterems;3948;00;Turtmann-Unterems;6119;VS;2619157.750;1126604.838;de;2008-07-01
Agarn;3951;00;Turtmann-Unterems;6119;VS;2618750.752;1127029.517;de;2008-07-01
Chemin;1927;00;Bovernier;6131;VS;2572903.921;1104054.824;fr;2008-07-01
Bovernier;1932;00;Bovernier;6131;VS;2572242.422;1101028.995;fr;2008-07-01
Les Valettes (Bovernier);1932;02;Bovernier;6131;VS;2571392.660;1102564.782;fr;2008-07-01
Fully;1926;00;Fully;6133;VS;2575169.725;1111560.708;fr;2008-07-01
Isérables;1914;00;Isérables;6134;VS;2586419.275;1110796.041;fr;2008-07-01
Haute-Nendaz;1997;00;Isérables;6134;VS;2585730.460;1112768.255;fr;2008-07-01
Ovronnaz;1911;00;Leytron;6135;VS;2576485.589;1117293.907;fr;2008-07-01
Leytron;1912;00;Leytron;6135;VS;2582127.987;1115080.994;fr;2008-07-01
Produit (Leytron);1912;02;Leytron;6135;VS;2580970.153;1114976.292;fr;2008-07-01
Montagnon (Leytron);1912;03;Leytron;6135;VS;2580953.077;1115729.081;fr;2008-07-01
Dugny (Leytron);1912;04;Leytron;6135;VS;2580089.848;1115098.682;fr;2008-07-01
Vernayaz;1904;00;Martigny;6136;VS;2569813.974;1108711.740;fr;2008-07-01
Charrat;1906;00;Martigny;6136;VS;2576398.844;1107712.555;fr;2008-07-01
Martigny;1920;00;Martigny;6136;VS;2573762.235;1106150.689;fr;2008-07-01
Chemin;1927;00;Martigny;6136;VS;2571695.726;1103906.351;fr;2008-07-01
Martigny;1920;00;Martigny-Combe;6137;VS;2566449.400;1104732.833;fr;2008-07-01
Martigny-Croix;1921;00;Martigny-Combe;6137;VS;2568420.315;1101191.879;fr;2008-07-01
Ravoire;1928;00;Martigny-Combe;6137;VS;2569326.598;1105354.324;fr;2008-07-01
Riddes;1908;00;Riddes;6139;VS;2582745.998;1112876.907;fr;2008-07-01
Auddes-sur-Riddes;1914;02;Riddes;6139;VS;2584648.663;1111496.638;fr;2008-07-01
La Tzoumaz;1918;00;Riddes;6139;VS;2585166.721;1108746.186;fr;2008-07-01
Saillon;1913;00;Saillon;6140;VS;2579745.003;1113124.612;fr;2008-07-01
Saxon;1907;00;Saxon;6141;VS;2580176.873;1109596.484;fr;2008-07-01
Trient;1929;00;Trient;6142;VS;2565780.366;1098215.153;fr;2008-07-01
Champéry;1874;00;Champéry;6151;VS;2554458.986;1112193.261;fr;2008-07-01
Collombey;1868;00;Collombey-Muraz;6152;VS;2559646.910;1123116.732;fr;2008-07-01
Collombey;1868;00;Collombey-Muraz;6152;VS;2562147.669;1125255.981;fr;2008-07-01
Troistorrents;1872;00;Collombey-Muraz;6152;VS;2560209.435;1122867.207;fr;2008-07-01
Muraz (Collombey);1893;00;Collombey-Muraz;6152;VS;2558337.924;1126424.736;fr;2008-07-01
Monthey;1870;00;Monthey;6153;VS;2552420.160;1118122.917;fr;2008-07-01
Monthey;1870;00;Monthey;6153;VS;2562050.393;1123421.144;fr;2008-07-01
Choëx;1871;00;Monthey;6153;VS;2562673.326;1121048.858;fr;2008-07-01
Les Giettes;1871;02;Monthey;6153;VS;2562529.625;1118956.757;fr;2008-07-01
Bouveret;1897;00;Port-Valais;6154;VS;2555558.106;1136631.781;fr;2008-07-01
Les Evouettes;1897;03;Port-Valais;6154;VS;2555247.086;1134760.644;fr;2008-07-01
St-Gingolph;1898;00;Port-Valais;6154;VS;2554089.662;1136720.427;fr;2008-07-01
St-Gingolph;1898;00;Saint-Gingolph;6155;VS;2551580.607;1135842.472;fr;2008-07-01
Les Giettes;1871;02;Troistorrents;6156;VS;2561087.367;1119338.476;fr;2008-07-01
Troistorrents;1872;00;Troistorrents;6156;VS;2558832.487;1119830.751;fr;2008-07-01
Morgins;1875;00;Troistorrents;6156;VS;2556047.714;1121236.083;fr;2008-07-01
Val-d'Illiez;1873;00;Val-d'Illiez;6157;VS;2558235.591;1115947.938;fr;2008-07-01
Champoussin;1873;02;Val-d'Illiez;6157;VS;2555328.255;1117414.496;fr;2008-07-01
Les Crosets;1873;03;Val-d'Illiez;6157;VS;2552952.461;1115326.676;fr;2008-07-01
Vionnaz;1895;00;Vionnaz;6158;VS;2558597.101;1128688.892;fr;2008-07-01
Torgon;1899;00;Vionnaz;6158;VS;2555099.530;1128700.569;fr;2008-07-01
Vouvry;1896;00;Vouvry;6159;VS;2558564.534;1131869.422;fr;2008-07-01
Miex;1896;02;Vouvry;6159;VS;2553217.442;1132024.995;fr;2008-07-01
Les Evouettes;1897;03;Vouvry;6159;VS;2557042.925;1133908.080;fr;2008-07-01
Bister;3983;02;Bister;6172;VS;2649148.380;1133546.983;de;2008-07-01
Blatten b. Naters;3914;00;Bitsch;6173;VS;2643326.191;1135046.615;de;2008-07-01
Bitsch;3982;00;Bitsch;6173;VS;2644315.419;1132462.406;de;2008-07-01
Grengiols;3993;00;Grengiols;6177;VS;2653712.211;1132709.740;de;2008-07-01
Binn;3996;00;Grengiols;6177;VS;2656646.966;1132396.332;de;2008-07-01
Goppisberg;3983;04;Riederalp;6181;VS;2647032.079;1135827.406;de;2008-07-01
Greich;3983;05;Riederalp;6181;VS;2646144.935;1135234.020;de;2008-07-01
Ried-Mörel;3986;00;Riederalp;6181;VS;2645445.459;1134352.712;de;2008-07-01
Riederalp;3987;00;Riederalp;6181;VS;2645399.411;1136796.415;de;2008-07-01
Ausserberg;3938;00;Ausserberg;6191;VS;2631702.382;1130850.347;de;2008-07-01
St. German;3942;03;Ausserberg;6191;VS;2629834.388;1129671.674;de;2008-07-01
Blatten (Lötschen);3919;00;Blatten;6192;VS;2632142.145;1143690.348;de;2008-07-01
Bürchen;3935;00;Bürchen;6193;VS;2629497.134;1124503.263;de;2008-07-01
Eischoll;3943;00;Eischoll;6194;VS;2625076.689;1125702.105;de;2008-07-01
Ferden;3916;00;Ferden;6195;VS;2622248.685;1138194.742;de;2008-07-01
Goppenstein;3917;02;Ferden;6195;VS;2625671.574;1135122.920;de;2008-07-01
Kippel;3917;00;Kippel;6197;VS;2625432.671;1137741.562;de;2008-07-01
Steg VS;3940;00;Niedergesteln;6198;VS;2624391.578;1128488.300;de;2008-07-01
Raron;3942;00;Niedergesteln;6198;VS;2627046.939;1127990.719;de;2008-07-01
Niedergesteln;3942;02;Niedergesteln;6198;VS;2626485.787;1129616.822;de;2008-07-01
Eischoll;3943;00;Niedergesteln;6198;VS;2623964.396;1127897.305;de;2008-07-01
Hohtenn;3949;00;Niedergesteln;6198;VS;2627658.151;1133844.949;de;2008-07-01
Raron;3942;00;Raron;6199;VS;2628848.975;1128031.620;de;2008-07-01
Niedergesteln;3942;02;Raron;6199;VS;2630192.264;1132662.645;de;2008-07-01
St. German;3942;03;Raron;6199;VS;2629127.386;1129332.329;de;2008-07-01
Raron;3942;00;Unterbäch;6201;VS;2627579.300;1127736.151;de;2008-07-01
Unterbäch VS;3944;00;Unterbäch;6201;VS;2625905.837;1121731.249;de;2008-07-01
Wiler (Lötschen);3918;00;Wiler (Lötschen);6202;VS;2626784.497;1139557.211;de;2008-07-01
Mörel;3983;00;Mörel-Filet;6203;VS;2646197.021;1133701.440;de;2008-07-01
Filet;3983;03;Mörel-Filet;6203;VS;2647950.469;1133044.598;de;2008-07-01
Steg VS;3940;00;Steg-Hohtenn;6204;VS;2625002.729;1133704.832;de;2008-07-01
Hohtenn;3949;00;Steg-Hohtenn;6204;VS;2626464.715;1131686.569;de;2008-07-01
Goppisberg;3983;04;Bettmeralp;6205;VS;2647546.544;1135793.478;de;2008-07-01
Betten;3991;00;Bettmeralp;6205;VS;2648777.956;1136769.276;de;2008-07-01
Bettmeralp;3992;00;Bettmeralp;6205;VS;2649082.523;1141869.826;de;2008-07-01
Martisberg;3994;02;Bettmeralp;6205;VS;2650523.610;1138073.897;de;2008-07-01
Collonges;1903;00;Collonges;6211;VS;2570530.941;1114332.671;fr;2008-07-01
Dorénaz;1905;00;Dorénaz;6212;VS;2570784.803;1110833.042;fr;2008-07-01
Evionnaz;1902;00;Evionnaz;6213;VS;2562588.821;1111382.186;fr;2008-07-01
Finhaut;1925;00;Finhaut;6214;VS;2562192.439;1102400.404;fr;2008-07-01
Le Châtelard VS;1925;01;Finhaut;6214;VS;2562766.798;1100960.874;fr;2008-07-01
Massongex;1869;00;Massongex;6215;VS;2565019.714;1120863.286;fr;2008-07-01
Monthey;1870;00;Massongex;6215;VS;2564011.034;1121564.075;fr;2008-07-01
Les Giettes;1871;02;Massongex;6215;VS;2563326.355;1118723.530;fr;2008-07-01
Vérossaz;1891;11;Massongex;6215;VS;2565290.157;1119298.716;fr;2008-07-01
St-Maurice;1890;00;Saint-Maurice;6217;VS;2567245.070;1115937.154;fr;2008-07-01
Mex VS;1890;01;Saint-Maurice;6217;VS;2565194.488;1115151.599;fr;2008-07-01
Evionnaz;1902;00;Saint-Maurice;6217;VS;2568414.329;1114897.103;fr;2008-07-01
Salvan;1922;00;Salvan;6218;VS;2566595.378;1109074.969;fr;2008-07-01
Les Granges (Salvan);1922;01;Salvan;6218;VS;2567680.733;1108500.972;fr;2008-07-01
Les Marécottes;1923;00;Salvan;6218;VS;2561527.069;1105548.719;fr;2008-07-01
Le Trétien;1923;02;Salvan;6218;VS;2565351.136;1105446.243;fr;2008-07-01
Vernayaz;1904;00;Vernayaz;6219;VS;2568478.380;1110294.509;fr;2008-07-01
Martigny;1920;00;Vernayaz;6219;VS;2568682.713;1107247.993;fr;2008-07-01
Vérossaz;1891;11;Vérossaz;6220;VS;2563959.440;1116946.383;fr;2008-07-01
Chalais;3966;00;Chalais;6232;VS;2605975.460;1123623.335;fr;2008-07-01
Réchy;3966;01;Chalais;6232;VS;2604105.843;1123209.378;fr;2008-07-01
Vercorin;3967;00;Chalais;6232;VS;2607315.940;1121122.054;fr;2008-07-01
Grône;3979;00;Chalais;6232;VS;2603324.220;1122996.786;fr;2008-07-01
Chippis;3965;00;Chippis;6235;VS;2607767.528;1124772.405;fr;2008-07-01
Vercorin;3967;00;Grône;6238;VS;2605262.271;1121125.986;fr;2008-07-01
Grône;3979;00;Grône;6238;VS;2603658.569;1119970.334;fr;2008-07-01
Icogne;1977;00;Icogne;6239;VS;2601371.434;1132703.394;fr;2008-07-01
Lens;1978;00;Icogne;6239;VS;2600656.768;1126387.203;fr;2008-07-01
Crans-Montana;3963;00;Icogne;6239;VS;2603688.516;1135476.387;fr;2008-07-01
Crans VS;3963;05;Icogne;6239;VS;2601101.609;1128484.678;fr;2023-03-01
Lens;1978;00;Lens;6240;VS;2600746.663;1125222.172;fr;2008-07-01
Crans-Montana;3963;00;Lens;6240;VS;2602181.804;1128595.706;fr;2008-07-01
Crans VS;3963;05;Lens;6240;VS;2602154.182;1130083.721;fr;2023-03-01
Chermignon-d'en-Bas;3971;01;Lens;6240;VS;2602615.080;1125339.283;fr;2008-07-01
Ollon VS;3971;02;Lens;6240;VS;2602592.206;1124828.015;fr;2008-07-01
Flanthey;3978;00;Lens;6240;VS;2601257.791;1124338.171;fr;2008-07-01
St-Léonard;1958;00;Saint-Léonard;6246;VS;2599244.781;1122636.776;fr;2008-07-01
Icogne;1977;00;Saint-Léonard;6246;VS;2599010.976;1124105.135;fr;2008-07-01
Flanthey;3978;00;Saint-Léonard;6246;VS;2599401.144;1123185.891;fr;2008-07-01
St-Léonard;1958;00;Sierre;6248;VS;2600504.696;1123272.593;fr;2008-07-01
Sierre;3960;00;Sierre;6248;VS;2609296.729;1126418.744;fr;2008-07-01
Muraz (Sierre);3960;05;Sierre;6248;VS;2606946.990;1127275.536;fr;2008-07-01
Chippis;3965;00;Sierre;6248;VS;2606861.826;1125304.711;fr;2008-07-01
Chalais;3966;00;Sierre;6248;VS;2605650.297;1124334.144;fr;2008-07-01
Réchy;3966;01;Sierre;6248;VS;2604335.275;1123752.028;fr;2008-07-01
Ollon VS;3971;02;Sierre;6248;VS;2603779.597;1124827.412;fr;2008-07-01
Noës;3976;00;Sierre;6248;VS;2605053.431;1125011.552;fr;2008-07-01
Champzabé;3976;02;Sierre;6248;VS;2604583.134;1125228.357;fr;2008-07-01
Granges VS;3977;00;Sierre;6248;VS;2601988.324;1123272.283;fr;2008-07-01
Niouc;3960;04;Anniviers;6252;VS;2609439.635;1124112.053;fr;2008-07-01
Vissoie;3961;21;Anniviers;6252;VS;2610653.750;1120407.534;fr;2008-07-01
St-Luc;3961;22;Anniviers;6252;VS;2614606.814;1118241.308;fr;2008-07-01
Chandolin;3961;23;Anniviers;6252;VS;2612283.947;1123043.227;fr;2008-07-01
Ayer;3961;24;Anniviers;6252;VS;2614124.684;1114229.980;fr;2008-07-01
Zinal;3961;25;Anniviers;6252;VS;2616218.441;1105834.675;fr;2008-07-01
Grimentz;3961;26;Anniviers;6252;VS;2609655.606;1110415.309;fr;2008-07-01
Mission;3961;27;Anniviers;6252;VS;2612209.833;1116239.177;fr;2013-03-01
St-Jean VS;3961;41;Anniviers;6252;VS;2609242.552;1116909.183;fr;2008-07-01
Sierre;3960;00;Crans-Montana;6253;VS;2605755.132;1126248.699;fr;2008-07-01
Corin-de-la-Crête;3960;02;Crans-Montana;6253;VS;2604768.468;1126180.273;fr;2008-07-01
Loc;3960;03;Crans-Montana;6253;VS;2605529.385;1126879.249;fr;2008-07-01
Crans-Montana;3963;00;Crans-Montana;6253;VS;2604177.134;1132203.712;fr;2008-07-01
Montana;3963;03;Crans-Montana;6253;VS;2604085.212;1126911.244;fr;2008-07-01
Aminona;3963;04;Crans-Montana;6253;VS;2607778.337;1133769.034;fr;2008-07-01
Salgesch;3970;00;Crans-Montana;6253;VS;2608623.494;1130571.117;de;2008-07-01
Chermignon;3971;00;Crans-Montana;6253;VS;2602555.892;1126230.223;fr;2008-07-01
Chermignon-d'en-Bas;3971;01;Crans-Montana;6253;VS;2603372.520;1125702.275;fr;2008-07-01
Ollon VS;3971;02;Crans-Montana;6253;VS;2603562.290;1125078.354;fr;2008-07-01
Miège;3972;00;Crans-Montana;6253;VS;2609129.217;1132122.556;fr;2008-07-01
Venthône;3973;00;Crans-Montana;6253;VS;2605509.225;1127738.103;fr;2008-07-01
Mollens VS;3974;00;Crans-Montana;6253;VS;2606205.476;1129460.998;fr;2008-07-01
Randogne;3975;00;Crans-Montana;6253;VS;2604775.392;1128341.483;fr;2008-07-01
Noës;3976;00;Crans-Montana;6253;VS;2605265.034;1125812.764;fr;2008-07-01
Champzabé;3976;02;Crans-Montana;6253;VS;2604568.627;1125270.952;fr;2008-07-01
Sierre;3960;00;Noble-Contrée;6254;VS;2608627.754;1127923.609;fr;2008-07-01
Veyras;3968;00;Noble-Contrée;6254;VS;2607606.273;1127992.027;fr;2008-07-01
Salgesch;3970;00;Noble-Contrée;6254;VS;2609244.568;1128577.414;de;2008-07-01
Miège;3972;00;Noble-Contrée;6254;VS;2608326.769;1128834.382;fr;2008-07-01
Venthône;3973;00;Noble-Contrée;6254;VS;2606837.889;1128371.193;fr;2008-07-01
Arbaz;1974;00;Arbaz;6261;VS;2595061.358;1127609.987;fr;2008-07-01
Sion;1950;00;Grimisuat;6263;VS;2594412.868;1122031.806;fr;2008-07-01
Signèse (Ayent);1966;11;Grimisuat;6263;VS;2596768.407;1122315.609;fr;2008-07-01
Grimisuat;1971;00;Grimisuat;6263;VS;2595727.271;1122970.780;fr;2008-07-01
Champlan (Grimisuat);1971;02;Grimisuat;6263;VS;2595429.652;1121977.327;fr;2008-07-01
Sion;1950;00;Savièse;6265;VS;2594180.147;1121740.101;fr;2008-07-01
Pont-de-la-Morge (Sion);1962;00;Savièse;6265;VS;2590555.578;1120939.487;fr;2008-07-01
Savièse;1965;00;Savièse;6265;VS;2588264.753;1131886.509;fr;2018-01-01
Sion;1950;00;Sion;6266;VS;2593654.237;1119858.203;fr;2008-07-01
Uvrier;1958;02;Sion;6266;VS;2597450.268;1121831.515;fr;2008-07-01
Pont-de-la-Morge (Sion);1962;00;Sion;6266;VS;2590587.053;1120178.055;fr;2008-07-01
Bramois;1967;00;Sion;6266;VS;2597315.609;1120343.888;fr;2008-07-01
Champlan (Grimisuat);1971;02;Sion;6266;VS;2594722.095;1121376.116;fr;2008-07-01
Salins;1991;00;Sion;6266;VS;2593532.178;1117339.779;fr;2008-07-01
Arvillard (Salins);1991;02;Sion;6266;VS;2592977.496;1117814.551;fr;2008-07-01
Pravidondaz (Salins);1991;03;Sion;6266;VS;2593464.301;1117838.864;fr;2008-07-01
Turin (Salins);1991;04;Sion;6266;VS;2593851.654;1118321.417;fr;2008-07-01
Misériez (Salins);1991;05;Sion;6266;VS;2592706.575;1117297.330;fr;2008-07-01
Les Agettes;1992;00;Sion;6266;VS;2594188.560;1117101.608;fr;2008-07-01
Les Mayens-de-Sion;1992;01;Sion;6266;VS;2594958.124;1116032.631;fr;2008-07-01
La Vernaz (Les Agettes);1992;02;Sion;6266;VS;2595088.731;1117707.456;fr;2008-07-01
Crête-à-l'Oeil (Les Agettes);1992;03;Sion;6266;VS;2594975.560;1117924.973;fr;2008-07-01
Veysonnaz;1993;00;Sion;6266;VS;2593067.342;1116517.566;fr;2008-07-01
Aproz (Nendaz);1994;02;Sion;6266;VS;2590679.941;1117327.715;fr;2008-07-01
Salins;1991;00;Veysonnaz;6267;VS;2592313.787;1116778.962;fr;2008-07-01
Veysonnaz;1993;00;Veysonnaz;6267;VS;2592242.954;1116023.474;fr;2008-07-01
Visp;3930;00;Baltschieder;6281;VS;2631571.689;1128181.810;de;2008-07-01
Baltschieder;3937;00;Baltschieder;6281;VS;2634045.788;1136158.369;de;2008-07-01
Baltschieder;3937;00;Baltschieder;6281;VS;2632600.553;1128829.422;de;2008-07-01
Saas-Balen;3908;00;Eisten;6282;VS;2636987.941;1113352.406;de;2008-07-01
Eisten;3922;02;Eisten;6282;VS;2635250.523;1113880.246;de;2008-07-01
Kalpetran;3922;01;Embd;6283;VS;2630543.624;1118082.051;de;2008-07-01
Embd;3926;00;Embd;6283;VS;2627716.521;1118602.831;de;2008-07-01
Grächen;3925;00;Grächen;6285;VS;2631426.951;1116360.028;de;2008-07-01
Lalden;3931;01;Lalden;6286;VS;2635514.232;1127719.285;de;2008-07-01
Randa;3928;00;Randa;6287;VS;2626829.779;1104914.680;de;2008-07-01
Saas-Almagell;3905;00;Saas-Almagell;6288;VS;2640926.186;1101272.631;de;2008-07-01
Saas-Fee;3906;00;Saas-Balen;6289;VS;2637448.464;1108031.001;de;2008-07-01
Saas-Balen;3908;00;Saas-Balen;6289;VS;2637777.202;1111104.635;de;2008-07-01
Saas-Grund;3910;00;Saas-Balen;6289;VS;2638325.818;1108261.874;de;2008-07-01
Saas-Fee;3906;00;Saas-Fee;6290;VS;2635839.710;1104202.510;de;2008-07-01
Saas-Grund;3910;00;Saas-Fee;6290;VS;2638549.059;1107342.413;de;2008-07-01
Saas-Grund;3910;00;Saas-Grund;6291;VS;2641078.669;1109816.058;de;2008-07-01
St. Niklaus VS;3924;00;St. Niklaus;6292;VS;2628658.840;1112273.286;de;2008-07-01
Herbriggen;3927;00;St. Niklaus;6292;VS;2626598.751;1109724.290;de;2008-07-01
Stalden VS;3922;00;Stalden (VS);6293;VS;2634249.410;1121572.374;de;2008-07-01
Törbel;3923;00;Stalden (VS);6293;VS;2633048.290;1121957.514;de;2008-07-01
Eisten;3922;02;Staldenried;6294;VS;2635505.879;1117371.840;de;2008-07-01
Staldenried;3933;00;Staldenried;6294;VS;2636299.133;1118463.786;de;2008-07-01
Täsch;3929;00;Täsch;6295;VS;2629238.948;1099948.679;de;2008-07-01
Törbel;3923;00;Törbel;6296;VS;2631031.946;1121644.038;de;2008-07-01
Visp;3930;00;Visp;6297;VS;2632581.466;1127008.908;de;2008-07-01
Eyholz;3930;02;Visp;6297;VS;2636553.911;1126501.653;de;2008-07-01
Stalden VS;3922;00;Visperterminen;6298;VS;2634136.317;1122578.836;de;2008-07-01
Visp;3930;00;Visperterminen;6298;VS;2634217.505;1124519.711;de;2008-07-01
Visperterminen;3932;00;Visperterminen;6298;VS;2638503.587;1122765.018;de;2008-07-01
Zeneggen;3934;00;Zeneggen;6299;VS;2632782.663;1124579.157;de;2008-07-01
Zermatt;3920;00;Zermatt;6300;VS;2628464.482;1093276.758;de;2008-07-01
Colombier NE;2013;00;Boudry;6404;NE;2556301.783;1200949.067;fr;2008-07-01
Bôle;2014;00;Boudry;6404;NE;2553652.680;1201791.742;fr;2008-07-01
Areuse;2015;00;Boudry;6404;NE;2555882.393;1200367.962;fr;2008-07-01
Cortaillod;2016;00;Boudry;6404;NE;2554228.126;1199828.148;fr;2008-07-01
Boudry;2017;00;Boudry;6404;NE;2552727.383;1200535.829;fr;2008-07-01
Chambrelien;2019;02;Boudry;6404;NE;2552870.172;1202043.110;fr;2008-07-01
Bevaix;2022;00;Boudry;6404;NE;2551743.528;1199009.462;fr;2008-07-01
Champ-du-Moulin;2149;00;Boudry;6404;NE;2549211.860;1200537.270;fr;2008-07-01
Cortaillod;2016;00;Cortaillod;6408;NE;2554914.270;1199246.616;fr;2008-07-01
Bevaix;2022;00;Cortaillod;6408;NE;2554383.346;1198253.340;fr;2008-07-01
Rochefort;2019;00;Rochefort;6413;NE;2551720.016;1205032.203;fr;2008-07-01
Chambrelien;2019;02;Rochefort;6413;NE;2552339.300;1202341.337;fr;2008-07-01
Corcelles NE;2035;00;Rochefort;6413;NE;2554301.788;1203336.600;fr;2008-07-01
Montezillon;2037;02;Rochefort;6413;NE;2554201.925;1204091.673;fr;2008-07-01
Noiraigue;2103;00;Rochefort;6413;NE;2547260.836;1200456.488;fr;2008-07-01
Champ-du-Moulin;2149;00;Rochefort;6413;NE;2549128.270;1201086.696;fr;2008-07-01
Fretereules;2149;02;Rochefort;6413;NE;2548735.252;1201297.680;fr;2008-07-01
Brot-Dessous;2149;03;Rochefort;6413;NE;2547957.653;1201547.219;fr;2008-07-01
Brot-Plamboz;2318;00;Rochefort;6413;NE;2549000.434;1204654.761;fr;2008-07-01
Neuchâtel;2000;00;Milvignes;6416;NE;2558516.804;1203525.203;fr;2008-07-01
Auvernier;2012;00;Milvignes;6416;NE;2557043.910;1202931.859;fr;2008-07-01
Colombier NE;2013;00;Milvignes;6416;NE;2555758.150;1202267.237;fr;2008-07-01
Bôle;2014;00;Milvignes;6416;NE;2554065.410;1202116.031;fr;2008-07-01
Areuse;2015;00;Milvignes;6416;NE;2555525.994;1201110.368;fr;2008-07-01
Corcelles NE;2035;00;Milvignes;6416;NE;2555420.549;1203495.729;fr;2008-07-01
Cormondrèche;2036;00;Milvignes;6416;NE;2557076.244;1203396.023;fr;2008-07-01
Bevaix;2022;00;La Grande Béroche;6417;NE;2552180.497;1198138.693;fr;2008-07-01
Gorgier;2023;00;La Grande Béroche;6417;NE;2548623.155;1197414.959;fr;2008-07-01
St-Aubin-Sauges;2024;00;La Grande Béroche;6417;NE;2547784.757;1195902.954;fr;2008-07-01
Chez-le-Bart;2025;00;La Grande Béroche;6417;NE;2550781.140;1195737.767;fr;2008-07-01
Montalchez;2027;02;La Grande Béroche;6417;NE;2546596.493;1195385.069;fr;2008-07-01
Fresens;2027;03;La Grande Béroche;6417;NE;2547396.000;1193153.620;fr;2008-07-01
Vaumarcus;2028;00;La Grande Béroche;6417;NE;2547395.362;1191880.814;fr;2008-07-01
Noiraigue;2103;00;La Grande Béroche;6417;NE;2546161.762;1198735.831;fr;2008-07-01
La Chaux-de-Fonds;2300;00;La Chaux-de-Fonds;6421;NE;2553749.722;1218366.987;fr;2008-07-01
La Cibourg;2300;08;La Chaux-de-Fonds;6421;NE;2557289.247;1218546.223;fr;2008-07-01
La Sagne NE;2314;00;La Chaux-de-Fonds;6421;NE;2554967.816;1213514.027;fr;2008-07-01
Le Crêt-du-Locle;2322;00;La Chaux-de-Fonds;6421;NE;2549997.308;1214475.920;fr;2008-07-01
Renan BE;2616;00;La Chaux-de-Fonds;6421;NE;2556565.524;1215942.190;fr;2008-07-01
Les Planchettes;2325;00;Les Planchettes;6422;NE;2549139.272;1217590.677;fr;2008-07-01
La Sagne NE;2314;00;La Sagne;6423;NE;2551466.016;1210581.028;fr;2008-07-01
Les Sagnettes;2124;00;La Brévine;6432;NE;2536207.200;1200436.706;fr;2008-07-01
La Brévine;2406;00;La Brévine;6432;NE;2536406.869;1202709.938;fr;2008-07-01
